Hybridization REF	13685041.gpr	13685040.gpr	13685153.gpr	13685151.gpr	13685042.gpr
Reporter REF	Software Unknown:M	Software Unknown:M	Software Unknown:M	Software Unknown:M	Software Unknown:M
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P209469 Rcbtb2 ProximalPromoter	-0.008	0.304	-0.144	-0.12	0.168
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P207596 Cmpk ProximalPromoter	0.04	-0.07	-0.255	-0.435	-0.074
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P207572 Acot11 ProximalPromoter	0.137	-0.029	-0.051	-0.007	-0.003
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P209979 1700108L22Rik ProximalPromoter	0.042	-0.036	0.036	0.054	0.194
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P001691 Blank	-0.084	0.073	-0.007	-0.11	0.027
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P100036 Rhoc ProximalPromoter	-0.023	-0.147	0.234	0.114	0.069
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P100786 Gda ProximalPromoter	-0.021	-0.235	0.058	0.098	-0.018
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P101626 Sez6 ProximalPromoter	-0.323	-0.128	-0.118	-0.253	-0.127
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P102759  ProximalPromoter	-0.178	-0.259	0.249	0.208	-0.25
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P103509 Zfp111 ProximalPromoter	-0.009	-0.216	-0.124	0.085	0.034
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P104439 Psmc1 DistalPromoter	-0.114	-0.159	0.124	0.157	-0.064
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P104895 Zfp260 DistalPromoter	0.221	0.096	0.113	-0.025	0.145
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P107491 Rdh8 DistalPromoter	-0.081	-0.318	0.095	0.082	-0.04
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P106355 Leprotl1 DistalPromoter	0.077	-0.092	0.033	0.28	0.046
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P203614 Evi2a ProximalPromoter	0.068	-0.207	0.206	-0.253	0.227
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P202909 Kif20a ProximalPromoter	-0.273	0.701	0.033	-0.006	-0.043
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P202493 Acpp ProximalPromoter	-0.051	-0.208	0.309	-0.504	0.013
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P205191 Rnd2 ProximalPromoter	-0.064	0.103	-0.093	0.092	0.062
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P204771 Pctp ProximalPromoter	-0.133	-0.094	0.027	0.04	0.034
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P206892 Ankrd2 ProximalPromoter	-0.115	-0.11	-0.028	-0.094	-0.121
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P206971 Piwil2 ProximalPromoter	-0.054	0.088	-0.342	-0.113	0.208
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P200427 Mns1 ProximalPromoter	-0.157	-0.1	0.067	-0.061	-0.223
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P209445 Cbll1 ProximalPromoter	0.092	0.695	0.833	0.126	0.137
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P208933 Plvap ProximalPromoter	0.085	0.054	-0.103	-0.13	0.424
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P207548 Aptx ProximalPromoter	0.042	-0.136	-0.001	-0.198	0.01
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P209955 Rpp40 ProximalPromoter	-0.036	-0.021	-0.064	-0.274	0.05
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P001595 Blank	-0.022	0.102	-0.04	-0.09	0.022
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P100012 Adh1 ProximalPromoter	-0.126	-0.159	-0.145	0.282	0.039
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P100852 Jun ProximalPromoter	0.196	0.054	-0.201	-0.032	0.158
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P101602 Mrps31 ProximalPromoter	0.045	-0.159	-0.07	-0.042	0.003
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P102735 Cdc42 ProximalPromoter	-0.077	0.096	-0.125	-0.205	0.053
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P103485 Tmed2 ProximalPromoter	-0.071	-0.013	-0.083	-0.085	0.088
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P104325 Hspa4 DistalPromoter	0.01	-0.065	0.073	-0.092	0.009
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P104871 Mab21l2 DistalPromoter	0.129	-0.311	0.484	-0.133	-0.011
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P107469 Pdlim3 DistalPromoter	0.107	0.103	0.038	-0.139	0.096
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P106333 Dnajb11 DistalPromoter	-0.364	0.16	-0.321	-0.083	-0.163
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P203681 Nudt3 ProximalPromoter	0.132	0.509	-0.014	-0.242	0.267
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P202885 Gabrb3 ProximalPromoter	0.038	0.128	0.12	0.19	0.181
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P202469 Fdft1 ProximalPromoter	0.069	0.202	-0.076	-0.09	-0.014
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P205167 Alox12b ProximalPromoter	0.187	0.116	0.177	-0.013	0.225
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P204464 Gna-rs1 ProximalPromoter	0.051	0.194	-0.046	-0.017	-0.13
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P206867 Tex101 ProximalPromoter	-0.099	-0.073	0.143	0.03	-0.005
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P206946 Smarce1 ProximalPromoter	-0.129	-0.077	0.324	-0.037	-0.217
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P200403 Hmgb2 ProximalPromoter	-0.127	-0.074	0.232	-0.006	-0.099
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P209511 Slc26a6 ProximalPromoter	-0.138	0.037	-0.099	-0.167	0.001
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P208908 Usp26 ProximalPromoter	0.402	-0.004	0.116	-0.181	-0.099
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P207524 1700011A15Rik ProximalPromoter	0.174	-0.092	-0.28	-0.193	0.035
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P209930 Arfgap1 ProximalPromoter	-0.036	-0.011	0.231	-0.206	0.062
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P002422 Stratagene PCR 8	0.037	0.302	-0.156	-0.183	0.117
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P100924 Pcna ProximalPromoter	0.089	0.51	0.508	0.015	0.236
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P101674 Rnf130 ProximalPromoter	0.041	0.11	-0.031	-0.064	-0.135
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P102807 Fasl ProximalPromoter	0.166	0.142	0.243	0.134	0.245
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P103647 Dusp12 ProximalPromoter	0.002	-0.06	0.354	0.019	-0.12
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P106626 Ccnd3 DistalPromoter	-0.163	0.161	0.133	0.293	-0.091
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P107115 Cdh5 DistalPromoter	0.118	-0.268	-0.118	-0.098	-0.214
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P105213 Dolpp1 DistalPromoter	0.197	0.042	-0.021	-0.012	-0.035
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P106147 Ubap1 DistalPromoter	0.013	-0.044	0.045	-0.018	-0.031
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P201811 Slc8a3 ProximalPromoter	-0.066	0.006	-0.055	-0.14	-0.134
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P202185 Sh2d4b ProximalPromoter	-0.251	-0.42	0.188	0.334	-0.085
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P205647 Mx1 ProximalPromoter	0.31	0.027	-0.22	-0.398	0.069
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P201444 A030008J09 ProximalPromoter	0.245	-0.141	0.151	0.27	0.431
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P204729 Nos3 ProximalPromoter	0.034	0.464	-0.156	-0.266	-0.061
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P202566 Frk ProximalPromoter	0.31	0.118	0.401	0.495	0.299
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P206628 Lsp1 ProximalPromoter	0.096	0.098	0.086	-0.015	0.393
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P200774 Meox2 ProximalPromoter	0.034	-0.03	0.277	0.006	0.086
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P209585 Fus ProximalPromoter	-0.12	-0.179	0.242	-0.086	-0.074
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P207722 Pmf1 ProximalPromoter	0.048	0.024	0.078	0.047	-0.112
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P207209 B230120H23Rik ProximalPromoter	0.043	-0.095	-0.064	-0.07	-0.013
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P209024  ProximalPromoter	0.034	0.069	-0.006	-0.043	-0.003
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P002398 Stratagene PCR 6	0.219	0.107	-0.079	-0.207	0.11
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P001896 Cy3 Anchor	null	null	null	null	null
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P100900 Ndrg1 ProximalPromoter	-0.101	0.707	-0.299	0.357	-0.206
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P101650 Rnase4 ProximalPromoter	0.922	0.899	0.631	0.098	0.738
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P102501 Prkcm ProximalPromoter	0.02	0.006	-0.089	-0.118	0.012
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P103623 Foxb1 ProximalPromoter	0.056	0.093	-0.038	-0.021	-0.036
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P106604 Bcl6b DistalPromoter	0.129	0.274	-0.438	-0.308	0.204
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P107093 Serping1 DistalPromoter	0.041	-0.064	0.097	0.17	0.004
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P105279 Gnas DistalPromoter	-0.161	-0.055	-0.019	0.046	0.006
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P106125 B230120H23Rik DistalPromoter	-0.042	-0.059	0.198	0.175	0.256
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P201786 A930001M12Rik ProximalPromoter	-0.102	-0.275	0.077	-0.054	0.161
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P202161 Cyp2r1 ProximalPromoter	-0.359	-0.201	0.215	-0.163	0.468
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P201742 Cryl1 ProximalPromoter	0.372	-0.282	0.367	0.29	0.14
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P201420 Oas1c ProximalPromoter	-0.056	-0.345	0.741	0.317	0.182
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P204705 Myo1c ProximalPromoter	0.332	0.288	-0.512	-0.403	0.03
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P202541 BC050188 ProximalPromoter	0.461	-0.121	-0.345	-0.005	-0.062
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P206697 Rhog ProximalPromoter	-0.064	-0.068	-0.122	-0.157	-0.045
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P200750 Rnf133 ProximalPromoter	0.048	-0.264	-0.01	0.317	0.055
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P209560 Ssx2ip ProximalPromoter	-0.16	0.169	0.268	-0.047	0.108
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P207698 2310028N02Rik ProximalPromoter	0.151	0.225	-0.044	0.095	-0.011
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P208351 1700017G21Rik ProximalPromoter	-0.066	-0.146	-0.724	-0.073	-0.176
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P209000 Supt16h ProximalPromoter	-0.078	0.209	-0.047	0.054	0.071
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P002374 Stratagene PCR 4	0.146	0.371	-0.006	-0.138	0.283
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P001800 Cy3 Anchor	null	null	null	null	null
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P100876 Mafk ProximalPromoter	-0.005	-0.024	0.073	0.036	0.001
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P101716 Slc15a3 ProximalPromoter	-0.184	-0.2	-0.405	-0.187	-0.13
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P102477 Pde6b ProximalPromoter	0.498	0.329	0.066	0.219	0.582
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P103599 Cope ProximalPromoter	0.023	-0.122	0.552	-0.06	-0.06
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P105664  DistalPromoter	0.019	0.062	0.077	-0.051	-0.107
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P106993 Stat1 DistalPromoter	0.1	0.632	-0.333	-0.258	0
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P105255 Hnrph1 DistalPromoter	0.048	-0.006	0.185	0.204	-0.057
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P106103 Niban DistalPromoter	0.025	0.022	-0.257	-0.114	0.094
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P201761 Tmem115 ProximalPromoter	-0.025	-0.085	-0.061	-0.052	-0.066
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P202228 Hectd3 ProximalPromoter	0.073	0.072	-0.053	-0.469	0.011
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P201718 A730037C10Rik ProximalPromoter	0.078	0.116	-0.073	-0.007	-0.049
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P201396 Clcn3 ProximalPromoter	-0.144	0.128	0.116	-0.341	0.198
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P204680 Pias2 ProximalPromoter	-0.209	-0.26	0.109	0.17	-0.192
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P205434 Gk2 ProximalPromoter	0.085	-0.248	-0.477	-0.487	0.065
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P206672 Vdp ProximalPromoter	0.124	-0.06	0.08	-0.027	-0.146
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P200726 Pigh ProximalPromoter	-0.103	-0.09	-0.011	0.117	-0.235
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P209536 Arhgap4 ProximalPromoter	-0.481	-0.062	-0.121	-0.07	-0.169
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P207764 2610206B13Rik ProximalPromoter	0.037	-0.019	0.215	0.318	0.229
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P208327 1200006F02Rik ProximalPromoter	0.047	0.728	-0.31	-0.032	0.024
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P208975 Fkbp6 ProximalPromoter	0.146	0.183	-0.193	-0.196	0.094
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P002350 Stratagene PCR 2	0.002	0.239	-0.088	-0.13	0.074
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.Blank Empty	0.048	0.03	-0.05	-0.02	0.038
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P100570 Tex9 ProximalPromoter	-0.11	-0.016	0.05	0.142	-0.147
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P101692 Actn4 ProximalPromoter	-0.061	0.099	-0.01	0.022	-0.081
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P102453 Nqo1 ProximalPromoter	0.045	0.103	-0.055	-0.005	0.109
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P103575 Sall1 ProximalPromoter	0.001	0.003	-0.051	0.093	-0.056
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P106640 Col13a1 DistalPromoter	0.095	-0.093	0.016	0.108	-0.09
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P106972 Scd1 DistalPromoter	0.146	0.28	-0.201	-0.04	0.134
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P105231 Tmem27 DistalPromoter	0.357	0.285	0.033	-0.018	0.221
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P106082 Kcne1l DistalPromoter	-0.05	-0.319	-0.065	-0.065	-0.067
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P001153 Blank	0.07	0.043	-0.08	-0.048	-0.02
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P202203 Pank4 ProximalPromoter	0.052	-0.077	0.262	0.211	-0.064
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P201693 Thrap5 ProximalPromoter	-0.17	-0.086	-0.009	-0.385	-0.236
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P201372 5430435G22Rik ProximalPromoter	0.215	0.406	0.059	0.085	0.262
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P204747 Ntrk2 ProximalPromoter	0.15	0.359	-0.186	-0.114	0.133
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P205410 Fmn1 ProximalPromoter	-0.003	0.314	0.129	0.025	-0.359
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P206648 Ndufb11 ProximalPromoter	0.083	-0.073	-0.167	0.223	-0.294
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P200702 Irak1bp1 ProximalPromoter	0.065	0.048	-0.001	-0.056	0.043
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P208544 2300002G24Rik ProximalPromoter	0.032	-0.151	-0.182	0.015	0.13
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P207740 Atp5e ProximalPromoter	0.214	-0.221	0.12	-0.074	0.058
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P208303 Fsip1 ProximalPromoter	0.064	0.099	0.312	0.228	0.156
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P208951 Ngfr ProximalPromoter	-0.06	-0.044	0.048	0.41	0.116
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P002416 Stratagene PCR 7	0.081	0.082	-0.06	-0.091	0.025
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.Blank Empty	0.102	0.016	-0.081	0	0.051
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P100546 Sephs2 ProximalPromoter	0.187	0.442	1.041	0.854	0.137
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P101668 2210009G21Rik ProximalPromoter	-0.09	-0.14	0.403	-0.297	-0.08
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P102429  ProximalPromoter	0.081	0.205	-0.015	-0.088	0.076
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P103269 Timm9 ProximalPromoter	0.132	0.146	-0.149	0.327	0.16
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P106618 Casp4 DistalPromoter	-0.05	-0.072	-0.043	0.031	-0.045
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P106951  DistalPromoter	-0.01	-0.216	0.272	0.227	-0.145
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P105207 Bat2 DistalPromoter	-0.106	-0.242	0.3	0.221	-0.36
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P106139 Stoml2 DistalPromoter	0.165	-0.086	-0.235	-0.361	-0.086
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P001057 Blank	0.091	0.007	-0.08	-0.003	-0.028
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P202179 Psma3 ProximalPromoter	0.078	-0.145	0.035	0.138	-0.232
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P201669 P2rx4 ProximalPromoter	0.108	0.091	0.134	-0.312	0.103
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P204175 Btc ProximalPromoter	0.099	0.193	0.339	0.71	0.087
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P204723 Nin ProximalPromoter	-0.051	0.103	0.1	0.106	-0.061
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P205386 Fcer1g ProximalPromoter	-0.052	-0.006	-0.352	0.013	-0.249
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P206622 Camkk1 ProximalPromoter	-0.082	-0.106	0.141	0.118	0.046
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P200768 Dbc1 ProximalPromoter	-0.103	0.024	-0.158	-0.009	-0.071
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P208520 Slc35a5 ProximalPromoter	0.199	-0.123	-0.258	-0.058	0.024
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P207716 Mettl6 ProximalPromoter	-0.108	0.05	0.085	0.192	0.087
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P208279 P2ry12 ProximalPromoter	0.023	0.08	-0.199	-0.082	0.083
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P207385 Stambp ProximalPromoter	0.248	-0.081	-0.221	-0.299	0.091
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P002392 Stratagene PCR 5	0.137	0.182	-0.048	-0.103	0.086
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.Blank Empty	0.071	0.056	-0.029	-0.02	0.076
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P100522 Cox7a2l ProximalPromoter	-0.068	0.035	0.043	0.09	-0.171
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P101644 Statip1 ProximalPromoter	0.098	0.192	-0.084	0.039	-0.077
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P102495 2900009I07Rik ProximalPromoter	0.02	0.45	-0.059	-0.061	-0.01
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P103245 Gyg ProximalPromoter	0.088	0.272	0.088	-0.025	0.059
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P106596 Aup1 DistalPromoter	0.04	0.032	-0.03	-0.02	-0.008
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P106929 Prox1 DistalPromoter	0.148	-0.346	0.623	0.136	0.132
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P107340 Pla2g5 DistalPromoter	0.306	-0.06	0.129	-0.006	0.137
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P106117 Retn DistalPromoter	0.051	-0.137	-0.03	0.027	0.026
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P000961 Blank	0.06	0.057	-0.049	-0.044	-0.074
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P202155 Ttpa ProximalPromoter	-0.146	0.199	0.371	0.08	-0.265
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P201736 B530045E10Rik ProximalPromoter	0.161	0.113	-0.034	-0.139	0.285
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P204151 Baat ProximalPromoter	0.163	0.109	0.378	-0.213	-0.056
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P204699 Mut ProximalPromoter	-0.048	0	-0.205	-0.369	0.254
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P205361 Egf ProximalPromoter	-0.142	-0.36	-0.396	-0.103	-0.263
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P206507 Prg3 ProximalPromoter	0.099	-0.057	0.066	-0.073	0.075
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P200744 D4Ertd22e ProximalPromoter	0.005	-0.136	0.012	0.025	-0.027
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P208495 Herc3 ProximalPromoter	-0.066	0.025	0.025	0.033	0.277
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P207692 1700023B02Rik ProximalPromoter	-0.021	-0.168	0.185	0.09	0.098
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P208345 Pdgfd ProximalPromoter	0.091	0.285	-0.034	-0.073	0.009
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P207360 Ern1 ProximalPromoter	0.247	-0.016	-0.093	-0.049	0.306
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P002368 Stratagene PCR 3	-0.005	0.119	-0.029	-0.013	0.034
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.Blank Empty	0.028	0.069	-0.029	0.024	0.03
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P100498 Rrm1 ProximalPromoter	-0.026	-0.06	-0.167	-0.058	-0.036
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P101338 Nxf1 ProximalPromoter	0.026	0.15	-0.019	-0.101	0.016
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P102471 Pcnt ProximalPromoter	-0.273	-0.216	-0.069	-0.031	-0.085
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P103221  ProximalPromoter	-0.348	-0.234	0.095	-0.063	-0.385
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P106574 Aldh3a1 DistalPromoter	0.23	0.415	0.083	0.102	0.088
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P106985 Spink3 DistalPromoter	0.046	0.324	0	-0.089	0.093
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P107318 Nktr DistalPromoter	0.023	-0.061	-0.091	0.017	-0.009
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P106095 Qk DistalPromoter	0.061	-0.125	0.58	0.158	0.078
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P000865 Blank	0.028	0.044	-0.04	0.011	0.017
